Variable Name;Type;Description
permno;Float;CRSP permno (permno)
permco;Float;CRSP permno (permco)
gvkey;Char;Compustat gvkey (gvkey)
iid;Char;Compustat iid (iid)
id;Float;Id (id)
date;Date;Day of last price observation (date)
excntry;Char;Exchange country (excntry)
eom;Date;End of month (eom)
obs_main;Float;Indicator: Main return observation (obs_main)
exch_main;Float;Indicator: Main exchange observation (exch_main)
primary_sec;Float;Indicator: Primary security (primary_sec)
common;Float;Indicator: Common stock (common)
size_grp;Char;Size group (size_grp)
me;Float;Market equity (me)
me_company;Float;Market equity company (me_company)
ret_exc_lead1m;Float;Excess return in USD in month t+1 (ret_exc_lead1m)
ret_exc;Float;Excess return in USD (ret_exc)
ret;Float;Total return in USD (ret)
ret_local;Float;Total return in local currency (ret_local)
ret_lag_dif;Float;Months between prices used to calculate returns (ret_lag_dif)
prc_local;Float;Price per share in local currency (prc_local)
prc_high;Float;Highest daily closing price during month (prc_high)
prc_low;Float;Lowest daily closing price during month (prc_low)
bidask;Float;Indicator: Price based on average between bid and ask (bidask)
curcd;Char;Local currency code (curcd)
fx;Float;Exchange rate local to USD (fx)
gics;Float;GICS code (gics)
naics;Float;NAICS code (naics)
sic;Float;SIC code (sic)
ff49;Float;Fama-French 49 industry code (ff49)
dolvol;Float;Dollar trading volume (dolvol)
shares;Float;Shares outstanding (shares)
tvol;Float;Number of shares traded during month (tvol)
adjfct;Float;Share price adjustment factor (adjfct)
comp_tpci;Char;Compustat: TPCI (comp_tpci)
crsp_shrcd;Float;CRSP: Share code (crsp_shrcd)
comp_exchg;Float;Compustat: Exchg (comp_exchg)
crsp_exchcd;Float;CRSP: Exchange code (crsp_exchcd)
source_crsp;Float;Indicator: Return data from CRSP (source_crsp)
prc;Float;Price per share in dollars (prc)
market_equity;Float;Market equity (characteristic) (market_equity)
div12m_me;Float;Dividend yield (div12m_me)
chcsho_12m;Float;Net stock issues (chcsho_12m)
eqnpo_12m;Float;Equity net payout (eqnpo_12m)
ret_1_0;Float;Short-term reversal (ret_1_0)
ret_3_1;Float;Price momentum t-3 to t-1 (ret_3_1)
ret_6_1;Float;Price momentum t-6 to t-1 (ret_6_1)
ret_9_1;Float;Price momentum t-9 to t-1 (ret_9_1)
ret_12_1;Float;Price momentum t-12 to t-1 (ret_12_1)
ret_12_7;Float;Price momentum t-12 to t-7 (ret_12_7)
ret_60_12;Float;Long-term reversal (ret_60_12)
seas_1_1an;Float;Year 1-lagged return, annual (seas_1_1an)
seas_1_1na;Float;Year 1-lagged return, nonannual (seas_1_1na)
seas_2_5an;Float;Years 2-5 lagged returns, annual (seas_2_5an)
seas_2_5na;Float;Years 2-5 lagged returns, nonannual (seas_2_5na)
seas_6_10an;Float;Years 6-10 lagged returns, annual (seas_6_10an)
seas_6_10na;Float;Years 6-10 lagged returns, nonannual (seas_6_10na)
seas_11_15an;Float;Years 11-15 lagged returns, annual (seas_11_15an)
seas_11_15na;Float;Years 11-15 lagged returns, nonannual (seas_11_15na)
seas_16_20an;Float;Years 16-20 lagged returns, annual (seas_16_20an)
seas_16_20na;Float;Years 16-20 lagged returns, nonannual (seas_16_20na)
at_gr1;Float;Asset Growth (at_gr1)
sale_gr1;Float;Sales Growth (1 year) (sale_gr1)
capx_gr1;Float;CAPEX growth (1 year) (capx_gr1)
inv_gr1;Float;Inventory growth (inv_gr1)
debt_gr3;Float;Growth in book debt (3 years) (debt_gr3)
sale_gr3;Float;Sales Growth (3 years) (sale_gr3)
capx_gr3;Float;CAPEX growth (3 years) (capx_gr3)
inv_gr1a;Float;Inventory change (inv_gr1a)
lti_gr1a;Float;Change in long-term investments (lti_gr1a)
sti_gr1a;Float;Change in short-term investments (sti_gr1a)
coa_gr1a;Float;Change in current operating assets (coa_gr1a)
col_gr1a;Float;Change in current operating liabilities (col_gr1a)
cowc_gr1a;Float;Change in current operating working capital (cowc_gr1a)
ncoa_gr1a;Float;Change in noncurrent operating assets (ncoa_gr1a)
ncol_gr1a;Float;Change in noncurrent operating liabilities (ncol_gr1a)
nncoa_gr1a;Float;Change in net noncurrent operating assets (nncoa_gr1a)
fnl_gr1a;Float;Change in financial liabilities (fnl_gr1a)
nfna_gr1a;Float;Change in net financial assets (nfna_gr1a)
tax_gr1a;Float;Tax expense surprise (tax_gr1a)
be_gr1a;Float;Change in common equity (be_gr1a)
ebit_sale;Float;Profit margin (ebit_sale)
gp_at;Float;Gross profits-to-assets (gp_at)
cop_at;Float;Cash-based operating profits-to-book assets (cop_at)
ope_be;Float;Operating profits-to-book equity (ope_be)
ni_be;Float;Return on equity (ni_be)
ebit_bev;Float;Return on net operating assets (ebit_bev)
netis_at;Float;Net total issuance (netis_at)
eqnetis_at;Float;Net equity issuance (eqnetis_at)
dbnetis_at;Float;Net debt issuance (dbnetis_at)
oaccruals_at;Float;Operating accruals (oaccruals_at)
oaccruals_ni;Float;Percent operating accruals (oaccruals_ni)
taccruals_at;Float;Total accruals (taccruals_at)
taccruals_ni;Float;Percent total accruals (taccruals_ni)
noa_at;Float;Net operating assets (noa_at)
opex_at;Float;Operating leverage (opex_at)
at_turnover;Float;Capital turnover (at_turnover)
sale_bev;Float;Assets turnover (sale_bev)
rd_sale;Float;R+D-to-sales (rd_sale)
cash_at;Float;Cash-to-assets (cash_at)
sale_emp_gr1;Float;Labor force efficiency (sale_emp_gr1)
emp_gr1;Float;Hiring rate (emp_gr1)
ni_inc8q;Float;Number of consecutive quarters with earnings increases (ni_inc8q)
noa_gr1a;Float;Change in net operating assets (noa_gr1a)
ppeinv_gr1a;Float;Change PPE and Inventory (ppeinv_gr1a)
lnoa_gr1a;Float;Change in long-term net operating assets (lnoa_gr1a)
capx_gr2;Float;CAPEX growth (2 years) (capx_gr2)
saleq_gr1;Float;Sales growth (1 quarter) (saleq_gr1)
niq_be;Float;Quarterly return on equity (niq_be)
niq_at;Float;Quarterly return on assets (niq_at)
niq_be_chg1;Float;Change in quarterly return on equity (niq_be_chg1)
niq_at_chg1;Float;Change in quarterly return on assets (niq_at_chg1)
rd5_at;Float;R&D capital-to-book assets (rd5_at)
dsale_dinv;Float;Change sales minus change Inventory (dsale_dinv)
dsale_drec;Float;Change sales minus change receivables (dsale_drec)
dgp_dsale;Float;Change gross margin minus change sales (dgp_dsale)
dsale_dsga;Float;Change sales minus change SG&A (dsale_dsga)
saleq_su;Float;Standardized Revenue surprise (saleq_su)
niq_su;Float;Standardized earnings surprise (niq_su)
capex_abn;Float;Abnormal corporate investment (capex_abn)
op_atl1;Float;Operating profits-to-lagged book assets (op_atl1)
gp_atl1;Float;Gross profits-to-lagged assets (gp_atl1)
ope_bel1;Float;Operating profits-to-lagged book equity (ope_bel1)
cop_atl1;Float;Cash-based operating profits-to-lagged book assets (cop_atl1)
pi_nix;Float;Taxable income-to-book income (pi_nix)
ocf_at;Float;Operating cash flow to assets (ocf_at)
op_at;Float;Operating profits-to-book assets (op_at)
ocf_at_chg1;Float;Change in operating cash flow to assets (ocf_at_chg1)
at_be;Float;Book leverage (at_be)
ocfq_saleq_std;Float;Cash flow volatility (ocfq_saleq_std)
tangibility;Float;Asset tangibility (tangibility)
earnings_variability;Float;Earnings variability (earnings_variability)
aliq_at;Float;Liquidity of book assets (aliq_at)
f_score;Float;Pitroski F-score (f_score)
o_score;Float;Ohlson O-score (o_score)
z_score;Float;Altman Z-score (z_score)
kz_index;Float;Kaplan-Zingales index (kz_index)
ni_ar1;Float;Earnings persistence (ni_ar1)
ni_ivol;Float;Earnings volatility (ni_ivol)
at_me;Float;Assets-to-market (at_me)
be_me;Float;Book-to-market equity (be_me)
debt_me;Float;Debt-to-market (debt_me)
netdebt_me;Float;Net debt-to-price (netdebt_me)
sale_me;Float;Sales-to-market (sale_me)
ni_me;Float;Earnings-to-price (ni_me)
ocf_me;Float;Operating cash flow-to-market (ocf_me)
fcf_me;Float;Free cash flow-to-price (fcf_me)
eqpo_me;Float;Payout yield (eqpo_me)
eqnpo_me;Float;Net payout yield (eqnpo_me)
rd_me;Float;R+D-to-market (rd_me)
ival_me;Float;Intrinsic value-to-market (ival_me)
bev_mev;Float;Book-to-market enterprise value (bev_mev)
ebitda_mev;Float;Ebitda-to-market enterprise value (ebitda_mev)
aliq_mat;Float;Liquidity of market assets (aliq_mat)
eq_dur;Float;Equity duration (eq_dur)
beta_60m;Float;Market Beta (beta_60m)
resff3_12_1;Float;Residual momentum t-12 to t-1 (resff3_12_1)
resff3_6_1;Float;Residual momentum t-6 to t-1 (resff3_6_1)
mispricing_mgmt;Float;Mispricing factor: Management (mispricing_mgmt)
mispricing_perf;Float;Mispricing factor: Performance (mispricing_perf)
ivol_capm_21d;Decimal;Idiosyncratic volatility from the CAPM (21 days) (ivol_capm_21d)
iskew_capm_21d;Decimal;Idiosyncratic skewness from the CAPM (iskew_capm_21d)
coskew_21d;Decimal;Coskewness (coskew_21d)
beta_dimson_21d;Decimal;Dimson beta (beta_dimson_21d)
ivol_ff3_21d;Decimal;Idiosyncratic volatility from the Fama-French 3-factor model (ivol_ff3_21d)
iskew_ff3_21d;Decimal;Idiosyncratic skewness from the Fama-French 3-factor model (iskew_ff3_21d)
ivol_hxz4_21d;Decimal;Idiosyncratic volatility from the q-factor model (ivol_hxz4_21d)
iskew_hxz4_21d;Decimal;Idiosyncratic skewness from the q-factor model (iskew_hxz4_21d)
rmax5_21d;Decimal;Highest 5 days of return (rmax5_21d)
rmax1_21d;Decimal;Maximum daily return (rmax1_21d)
rvol_21d;Decimal;Return volatility (rvol_21d)
rskew_21d;Decimal;Total skewness (rskew_21d)
zero_trades_21d;Decimal;Number of zero trades with turnover as tiebreaker (1 month) (zero_trades_21d)
dolvol_126d;Decimal;Dollar trading volume (dolvol_126d)
dolvol_var_126d;Decimal;Coefficient of variation for dollar trading volume (dolvol_var_126d)
turnover_126d;Decimal;Share turnover (turnover_126d)
turnover_var_126d;Decimal;Coefficient of variation for share turnover (turnover_var_126d)
zero_trades_126d;Decimal;Number of zero trades with turnover as tiebreaker (6 months) (zero_trades_126d)
zero_trades_252d;Decimal;Number of zero trades with turnover as tiebreaker (12 months) (zero_trades_252d)
ami_126d;Decimal;Amihud Measure (ami_126d)
ivol_capm_252d;Decimal;Idiosyncratic volatility from the CAPM (252 days) (ivol_capm_252d)
prc_highprc_252d;Decimal;Current price to high price over last year (prc_highprc_252d)
betadown_252d;Decimal;Downside beta (betadown_252d)
bidaskhl_21d;Decimal;The high-low bid-ask spread (bidaskhl_21d)
corr_1260d;Decimal;Market correlation (corr_1260d)
betabab_1260d;Float;Frazzini-Pedersen market beta (betabab_1260d)
rmax5_rvol_21d;Float;Highest 5 days of return scaled by volatility (rmax5_rvol_21d)
age;Float;Firm age (age)
qmj;Float;Quality minus Junk: Composite (qmj)
qmj_prof;Float;Quality minus Junk: Profitability (qmj_prof)
qmj_growth;Float;Quality minus Junk: Growth (qmj_growth)
qmj_safety;Float;Quality minus Junk: Safety (qmj_safety)
enterprise_value;Float;Enterprise Value (enterprise_value)
book_equity;Float;Book Equity (book_equity)
assets;Float;Assets (assets)
sales;Float;Sales (sales)
net_income;Float;Net Income (net_income)
div1m_me;Float;Dividend to Price - 1 Month (div1m_me)
div3m_me;Float;Dividend to Price - 3 Months (div3m_me)
div6m_me;Float;Dividend to Price - 6 Months (div6m_me)
divspc1m_me;Float;Special Dividend to Price - 1 Month (divspc1m_me)
divspc12m_me;Float;Special Dividend to Price - 12 Month (divspc12m_me)
chcsho_1m;Float;Change in Shares - 1 Month (chcsho_1m)
chcsho_3m;Float;Change in Shares - 3 Month (chcsho_3m)
chcsho_6m;Float;Change in Shares - 6 Month (chcsho_6m)
eqnpo_1m;Float;Net Equity Payout - 1 Month (eqnpo_1m)
eqnpo_3m;Float;Net Equity Payout - 3 Month (eqnpo_3m)
eqnpo_6m;Float;Net Equity Payout - 6 Month (eqnpo_6m)
ret_2_0;Float;Momentum 0-2 Months (ret_2_0)
ret_3_0;Float;Momentum 0-3 Months (ret_3_0)
ret_6_0;Float;Momentum 0-6 Months (ret_6_0)
ret_9_0;Float;Momentum 0-9 Months (ret_9_0)
ret_12_0;Float;Momentum 0-12 Months (ret_12_0)
ret_18_1;Float;Momentum 1-18 Months (ret_18_1)
ret_24_1;Float;Momentum 1-24 Months (ret_24_1)
ret_24_12;Float;Momentum 12-24 Months (ret_24_12)
ret_36_1;Float;Momentum 1-36 Months (ret_36_1)
ret_36_12;Float;Momentum 12-36 Months (ret_36_12)
ret_48_12;Float;Momentum 12-48 Months (ret_48_12)
ret_48_1;Float;Momentum 1-48 Months (ret_48_1)
ret_60_1;Float;Momentum 1-60 Months (ret_60_1)
ret_60_36;Float;Momentum 36-60 Months (ret_60_36)
ca_gr1;Float;Current Asset Growth 1yr (ca_gr1)
nca_gr1;Float;Non-Current Asset Growth 1yr (nca_gr1)
lt_gr1;Float;Total Liabilities Growth 1yr (lt_gr1)
cl_gr1;Float;Current Liabilities Growth 1yr (cl_gr1)
ncl_gr1;Float;Non-Current Liabilities Growth 1yr (ncl_gr1)
be_gr1;Float;Book Equity Growth 1yr (be_gr1)
pstk_gr1;Float;Preferred Stock Growth 1 yr (pstk_gr1)
debt_gr1;Float;Total Debt Growth 1yr (debt_gr1)
cogs_gr1;Float;Cost of Goods Sold Growth 1yr (cogs_gr1)
sga_gr1;Float;Selling, General, and Administrative Expenses Growth 1yr (sga_gr1)
opex_gr1;Float;Operating Expenses Growth 1yr (opex_gr1)
at_gr3;Float;Asset Growth 3yr (at_gr3)
ca_gr3;Float;Current Asset Growth 3yr (ca_gr3)
nca_gr3;Float;Non-Current Asset Growth 3yr (nca_gr3)
lt_gr3;Float;Total Liabilities Growth 3yr (lt_gr3)
cl_gr3;Float;Current Liabilities Growth 3yr (cl_gr3)
ncl_gr3;Float;Non-Current Liabilities Growth 3yr (ncl_gr3)
be_gr3;Float;Book Equity Growth 3yr (be_gr3)
pstk_gr3;Float;Preferred Stock Growth 3yr (pstk_gr3)
cogs_gr3;Float;Cost of Goods Sold Growth 3yr (cogs_gr3)
sga_gr3;Float;Selling, General, and Administrative Expenses Growth 3yr (sga_gr3)
opex_gr3;Float;Operating Expenses Growth 3yr (opex_gr3)
cash_gr1a;Float;Cash and Short-Term Investments Change 1yr (cash_gr1a)
rec_gr1a;Float;Receivables Change 1yr (rec_gr1a)
ppeg_gr1a;Float;Property, Plans and Equipment Gross Change 1yr (ppeg_gr1a)
intan_gr1a;Float;Intangible Assets Change 1yr (intan_gr1a)
debtst_gr1a;Float;Short-Term Debt Change 1yr (debtst_gr1a)
ap_gr1a;Float;Accounts Payable Change 1yr (ap_gr1a)
txp_gr1a;Float;Income Tax Payable Change 1yr (txp_gr1a)
debtlt_gr1a;Float;Long-Term Debt Change 1yr (debtlt_gr1a)
txditc_gr1a;Float;Deferred Taxes and Investment Credit Change 1yr (txditc_gr1a)
oa_gr1a;Float;Operating Assets Change 1yr (oa_gr1a)
ol_gr1a;Float;Operating Liabilities Change 1yr (ol_gr1a)
fna_gr1a;Float;Financial Assets Change 1yr (fna_gr1a)
gp_gr1a;Float;Gross Profit Change 1yr (gp_gr1a)
ebitda_gr1a;Float;Operating Profit before Depreciation Change 1yr (ebitda_gr1a)
ebit_gr1a;Float;Operating Profit after Depreciation Change 1yr (ebit_gr1a)
ope_gr1a;Float;Operating Earnings to Equity Change 1yr (ope_gr1a)
ni_gr1a;Float;Net Income Change 1yr (ni_gr1a)
nix_gr1a;Float;Net Income Including Extraordinary Items Change 1yr (nix_gr1a)
dp_gr1a;Float;Depreciation and Amortization Change 1yr (dp_gr1a)
fincf_gr1a;Float;Financial Cash Flow Change 1yr (fincf_gr1a)
ocf_gr1a;Float;Operating Cash Flow Change 1yr (ocf_gr1a)
fcf_gr1a;Float;Free Cash Flow Change 1yr (fcf_gr1a)
nwc_gr1a;Float;Net Working Capital Change 1yr (nwc_gr1a)
eqnetis_gr1a;Float;Equity Net Issuance Change 1yr (eqnetis_gr1a)
dltnetis_gr1a;Float;Net Long-Term Debt Issuance Change 1yr (dltnetis_gr1a)
dstnetis_gr1a;Float;Net Short-Term Debt Issuance Change 1yr (dstnetis_gr1a)
dbnetis_gr1a;Float;Net Debt Issuance Change 1yr (dbnetis_gr1a)
netis_gr1a;Float;Net Issuance Change 1yr (netis_gr1a)
eqnpo_gr1a;Float;Equity Net Payout Change 1yr (eqnpo_gr1a)
eqbb_gr1a;Float;Equity Buyback Change 1yr (eqbb_gr1a)
eqis_gr1a;Float;Equity Issuance Change 1yr (eqis_gr1a)
div_gr1a;Float;Dividend Payout Ratio Change 1yr (div_gr1a)
eqpo_gr1a;Float;Net Equity Payout Change 1yr (eqpo_gr1a)
capx_gr1a;Float;Capital Expenditures Change 1yr (capx_gr1a)
cash_gr3a;Float;Cash and Short-Term Investments Change 3yr (cash_gr3a)
inv_gr3a;Float;Inventory Change 3yr (inv_gr3a)
rec_gr3a;Float;Receivables Change 3yr (rec_gr3a)
ppeg_gr3a;Float;Property, Plans and Equipment Gross Change 3yr (ppeg_gr3a)
lti_gr3a;Float;Investment and Advances Change 3yr (lti_gr3a)
intan_gr3a;Float;Intangible Assets Change 3yr (intan_gr3a)
debtst_gr3a;Float;Short-Term Debt Change 3yr (debtst_gr3a)
ap_gr3a;Float;Accounts Payable Change 3yr (ap_gr3a)
txp_gr3a;Float;Income Tax Payable Change 3yr (txp_gr3a)
debtlt_gr3a;Float;Long-Term Debt Change 3yr (debtlt_gr3a)
txditc_gr3a;Float;Deferred Taxes and Investment Credit Change 3yr (txditc_gr3a)
coa_gr3a;Float;Current Operating Assets Change 3yr (coa_gr3a)
col_gr3a;Float;Current Operating Liabilities Change 3yr (col_gr3a)
cowc_gr3a;Float;Current Operating Working Capital Change 3yr (cowc_gr3a)
ncoa_gr3a;Float;Non-Current Operating Assets Change 3yr (ncoa_gr3a)
ncol_gr3a;Float;Non-Current Operating Liabilities Change 3yr (ncol_gr3a)
nncoa_gr3a;Float;Net Non-Current Operating Assets Change 3yr (nncoa_gr3a)
oa_gr3a;Float;Operating Assets Change 3yr (oa_gr3a)
ol_gr3a;Float;Operating Liabilities Change 3yr (ol_gr3a)
fna_gr3a;Float;Financial Assets Change 3yr (fna_gr3a)
fnl_gr3a;Float;Financial Liabilities Change 3yr (fnl_gr3a)
nfna_gr3a;Float;Net Financial Assets Change 3yr (nfna_gr3a)
gp_gr3a;Float;Gross Profit Change 3yr (gp_gr3a)
ebitda_gr3a;Float;Operating Profit before Depreciation Change 3yr (ebitda_gr3a)
ebit_gr3a;Float;Operating Profit after Depreciation Change 3yr (ebit_gr3a)
ope_gr3a;Float;Operating Earnings to Equity Change 3yr (ope_gr3a)
ni_gr3a;Float;Net Income Change 3yr (ni_gr3a)
nix_gr3a;Float;Net Income Including Extraordinary Items Change 3yr (nix_gr3a)
dp_gr3a;Float;Depreciation and Amortization Change 3yr (dp_gr3a)
fincf_gr3a;Float;Financial Cash Flow Change 3yr (fincf_gr3a)
ocf_gr3a;Float;Operating Cash Flow Change 3yr (ocf_gr3a)
fcf_gr3a;Float;Free Cash Flow Change 3yr (fcf_gr3a)
nwc_gr3a;Float;Net Working Capital Change 3yr (nwc_gr3a)
eqnetis_gr3a;Float;Equity Net Issuance Change 3yr (eqnetis_gr3a)
dltnetis_gr3a;Float;Net Long-Term Debt Issuance Change 3yr (dltnetis_gr3a)
dstnetis_gr3a;Float;Net Short-Term Debt Issuance Change 3yr (dstnetis_gr3a)
dbnetis_gr3a;Float;Net Debt Issuance Change 3yr (dbnetis_gr3a)
netis_gr3a;Float;Net Issuance Change 3yr (netis_gr3a)
eqnpo_gr3a;Float;Equity Net Payout Change 3yr (eqnpo_gr3a)
tax_gr3a;Float;Effective Tax Rate Change 3yr (tax_gr3a)
eqbb_gr3a;Float;Equity Buyback Change 3yr (eqbb_gr3a)
eqis_gr3a;Float;Equity Issuance Change 3yr (eqis_gr3a)
div_gr3a;Float;Dividend Payout Ratio Change 3yr (div_gr3a)
eqpo_gr3a;Float;Net Equity Payout Change 3yr (eqpo_gr3a)
capx_gr3a;Float;Capital Expenditures Change 3yr (capx_gr3a)
capx_at;Float;Capital Expenditures scaled by Assets (capx_at)
rd_at;Float;R+D scaled by Assets (rd_at)
spi_at;Float;Special Items scaled by Assets (spi_at)
xido_at;Float;Extraordinary Items and Discontinued Operations scaled by Assets (xido_at)
nri_at;Float;Non-Recurring Items scaled by Assets (nri_at)
gp_sale;Float;Gross Profit Margin (gp_sale)
ebitda_sale;Float;Operating Profit Margin before Depreciation (ebitda_sale)
pi_sale;Float;Pretax Profit Margin (pi_sale)
ni_sale;Float;Net Profit Margin before extraordinary income (ni_sale)
nix_sale;Float;Net Profit Margin (nix_sale)
ocf_sale;Float;Operating Cash Flow Margin (ocf_sale)
fcf_sale;Float;Free Cash Flow Margin (fcf_sale)
ebitda_at;Float;Operating Profit before Depreciation scaled by Assets (ebitda_at)
ebit_at;Float;Operating Profit after Depreciation scaled by Assets (ebit_at)
fi_at;Float;Firm Income scaled by Assets (fi_at)
ni_at;Float;Net Income scaled by Assets (ni_at)
nix_be;Float;Net Income Including Extraordinary Items scaled by BE (nix_be)
ocf_be;Float;Operating Cash Flow scaled by BE (ocf_be)
fcf_be;Float;Free Cash Flow scaled by BE (fcf_be)
gp_bev;Float;Gross Profit scaled by BEV (gp_bev)
ebitda_bev;Float;Operating Profit before Depreciation scaled by BEV (ebitda_bev)
fi_bev;Float;Firm Income scaled by BEV (fi_bev)
cop_bev;Float;Cash Based Operating Profitability scaled by BEV (cop_bev)
gp_ppen;Float;Gross Profit scaled by PPEN (gp_ppen)
ebitda_ppen;Float;Operating Profit before Depreciation scaled by PPEN (ebitda_ppen)
fcf_ppen;Float;Free Cash Flow scaled by PPEN (fcf_ppen)
fincf_at;Float;Financial Cash Flow scaled by Assets (fincf_at)
eqis_at;Float;Equity Issuance scaled by Assets (eqis_at)
dltnetis_at;Float;Net Long-Term Debt Issuance scaled by Assets (dltnetis_at)
dstnetis_at;Float;Net Short-Term Debt Issuance scaled by Assets (dstnetis_at)
eqnpo_at;Float;Equity Net Payout scaled by Assets (eqnpo_at)
eqbb_at;Float;Net Equity Payout scaled by Assets (eqbb_at)
div_at;Float;Total Dividends scaled by Assets (div_at)
be_bev;Float;Common Equity scaled by BEV (be_bev)
debt_bev;Float;Total Debt scaled by BEV (debt_bev)
cash_bev;Float;Cash and Short-Term Investments scaled by BEV (cash_bev)
pstk_bev;Float;Preferred Stock scaled by BEV (pstk_bev)
debtlt_bev;Float;Long-Term Debt scaled by BEV (debtlt_bev)
debtst_bev;Float;Short-Term Debt scaled by BEV (debtst_bev)
int_debt;Float;Interest scaled by Total Debt (int_debt)
int_debtlt;Float;Interest scaled by Long-Term Debt (int_debtlt)
ebitda_debt;Float;Operating Profit before Depreciation scaled by Total Debt (ebitda_debt)
profit_cl;Float;Profit before D&A scaled by Current Liabilities (profit_cl)
ocf_cl;Float;Operating Cash Flow scaled by Current Liabilities (ocf_cl)
ocf_debt;Float;Operating Cash Flow scaled by Total Debt (ocf_debt)
cash_lt;Float;Cash Balance scaled by Total Liabilities (cash_lt)
inv_act;Float;Inventory scaled by Current Assets (inv_act)
rec_act;Float;Receivables scaled by Current Assets (rec_act)
debtst_debt;Float;Short-Term Debt scaled by Total Debt (debtst_debt)
cl_lt;Float;Current Liabilities scaled by Total Liabilities (cl_lt)
