rf,dateff
0.00280,1965-01-29
0.00300,1965-02-26
0.00360,1965-03-31
0.00310,1965-04-30
0.00310,1965-05-28
0.00350,1965-06-30
0.00310,1965-07-30
0.00330,1965-08-31
0.00310,1965-09-30
0.00310,1965-10-29
0.00350,1965-11-30
0.00330,1965-12-31
0.00380,1966-01-31
0.00350,1966-02-28
0.00380,1966-03-31
0.00340,1966-04-29
0.00410,1966-05-31
0.00380,1966-06-30
0.00350,1966-07-29
0.00410,1966-08-31
0.00400,1966-09-30
0.00450,1966-10-31
0.00400,1966-11-30
0.00400,1966-12-30
0.00430,1967-01-31
0.00360,1967-02-28
0.00390,1967-03-31
0.00320,1967-04-28
0.00330,1967-05-31
0.00270,1967-06-30
0.00320,1967-07-31
0.00310,1967-08-31
0.00320,1967-09-29
0.00390,1967-10-31
0.00360,1967-11-30
0.00330,1967-12-29
0.00400,1968-01-31
0.00390,1968-02-29
0.00380,1968-03-29
0.00430,1968-04-30
0.00450,1968-05-31
0.00430,1968-06-28
0.00480,1968-07-30
0.00420,1968-08-30
0.00430,1968-09-30
0.00440,1968-10-31
0.00420,1968-11-29
0.00430,1968-12-31
0.00530,1969-01-31
0.00460,1969-02-28
0.00460,1969-03-28
0.00530,1969-04-30
0.00480,1969-05-29
0.00510,1969-06-30
0.00530,1969-07-31
0.00500,1969-08-29
0.00620,1969-09-30
0.00600,1969-10-31
0.00520,1969-11-28
0.00640,1969-12-31
0.00600,1970-01-30
0.00620,1970-02-27
0.00570,1970-03-31
0.00500,1970-04-30
0.00530,1970-05-29
0.00580,1970-06-30
0.00520,1970-07-31
0.00530,1970-08-31
0.00540,1970-09-30
0.00460,1970-10-30
0.00460,1970-11-30
0.00420,1970-12-31
0.00380,1971-01-29
0.00330,1971-02-26
0.00300,1971-03-31
0.00280,1971-04-30
0.00290,1971-05-28
0.00370,1971-06-30
0.00400,1971-07-30
0.00470,1971-08-31
0.00370,1971-09-30
0.00370,1971-10-29
0.00370,1971-11-30
0.00370,1971-12-31
0.00290,1972-01-31
0.00250,1972-02-29
0.00270,1972-03-30
0.00290,1972-04-28
0.00300,1972-05-31
0.00290,1972-06-30
0.00310,1972-07-31
0.00290,1972-08-31
0.00340,1972-09-29
0.00400,1972-10-31
0.00370,1972-11-30
0.00370,1972-12-29
0.00440,1973-01-31
0.00420,1973-02-28
0.00460,1973-03-30
0.00520,1973-04-30
